"lambda","MSE.LASSO","MSE.OLS.GOOD","MSE.OLS.FULL","SSB.LASSO","SSB.OLS.GOOD","SSB.OLS.FULL"
0.126774031974041,2.26147600749462,1.3995183381287,1.91738152948207,0.411591102885187,0.105178227167692,0.383338012391466
0.122712523985119,1.80742884944253,1.64055584522927,1.76050345426207,0.316911006548591,0.141655802868624,0.403157536942641
0.0619325827957735,0.916381251442021,1.87165994261531,0.874807960518915,0.431688556719904,0.167450071516817,0.569294195296172
0.118781136075895,0.982001729370674,0.69186695429181,1.00436994437116,0.297034947618684,0.223430897651613,0.405142576649599
0.100934678501624,1.6057190969478,1.04075171042935,1.10378143668502,0.327009841636043,0.237235597120948,0.357470152591235
0.0857695898590894,3.10376009284063,1.639819880783,1.78718181875637,0.679429051437117,0.244950326082162,0.730309624888066
0.0599484250318941,2.12466277927684,1.65137798464401,2.41949190878971,0.349446707330622,0.217867347015895,0.578587776781477
0.0599484250318941,1.36966185096127,1.0788239533062,1.981150296386,0.442461288815331,0.319133751139871,0.573914047538768
0.0977009957299225,2.14059435956099,1.87388001065168,2.26078234031726,0.21336852641386,0.0657292555673436,0.300689047803324
0.0977009957299225,3.31971118702581,1.78461768294955,3.11595885139165,0.300211857499002,0.0761332383376066,0.503679734466422
0.111292179224601,1.66917895760098,1.04266373124604,0.606116256885595,0.228943191279812,0.106609247714049,0.269547316801943
0.0580278344866619,0.396799950312719,0.367098426794097,0.887008449068734,0.445924026481516,0.142021321055133,0.766221337827366
0.0915411073375241,2.72502496019278,1.81267646684552,4.67078584506308,0.279789994175986,0.148899322145743,0.866459596226616
0.0977009957299225,2.07679216436899,1.68381751179829,1.86501569878181,0.269769836280418,0.203866767891942,0.372682426940316
0.0945709116858657,1.8879322892387,1.16006970119128,1.91201074442383,0.455046515248979,0.172738167969934,0.604203358352689
0.144409564939154,2.96843602541143,2.09306535162705,2.81928594888657,0.295657794028578,0.144913669295414,0.45586285956035
0.100934678501624,1.70068714912585,1.59607010162561,2.94089333939631,0.160375511872904,0.126622333394854,0.406219633137516
